subvectors,code_size,learning_rate,l2_reg,ar,bn,en,es,fa,fi,fr,hi,id,ja,ko,ru,sw,te,th,zh,avg_ndcg
256,64,1e-6,0,0.6357,0.6332,0.5905,0.4078,0.4416,0.6645,0.3294,0.3596,0.4716,0.5743,0.6039,0.5035,0.5354,0.6842,0.6727,0.4012,0.5318
256,64,1e-6,1e-8,0.6356,0.633,0.5905,0.4078,0.4422,0.6645,0.3298,0.3593,0.4716,0.5739,0.6039,0.5032,0.5353,0.6841,0.6727,0.4012,0.5318
256,64,1e-6,1e-7,0.6355,0.6329,0.5905,0.4076,0.4417,0.6645,0.3299,0.3585,0.4716,0.5743,0.6039,0.5031,0.5354,0.6833,0.6732,0.4006,0.5317
256,64,1e-6,3e-7,0.6356,0.6328,0.5902,0.4077,0.441,0.6651,0.3297,0.3593,0.4718,0.5741,0.6039,0.5032,0.5352,0.6833,0.6731,0.4024,0.5318
256,64,1e-6,7e-7,0.6355,0.6317,0.5898,0.4075,0.4405,0.6652,0.3302,0.3594,0.4718,0.5738,0.6039,0.5031,0.5362,0.6825,0.6731,0.401,0.5316
256,64,1e-6,1e-6,0.636,0.6317,0.5892,0.4069,0.4402,0.6656,0.3307,0.3604,0.4712,0.5736,0.6048,0.5032,0.5352,0.6823,0.6733,0.4005,0.5315
256,64,1e-6,3e-6,0.636,0.6314,0.5895,0.4093,0.4417,0.665,0.3295,0.359,0.471,0.5724,0.602,0.5028,0.5332,0.6809,0.6743,0.3994,0.5311
256,64,1e-6,7e-6,0.6362,0.6337,0.5904,0.4086,0.4411,0.666,0.3325,0.3572,0.4691,0.5742,0.5995,0.5037,0.5312,0.6808,0.6731,0.399,0.531
256,64,3e-6,0,0.6624,0.6567,0.6131,0.462,0.4953,0.7009,0.3829,0.4086,0.5144,0.6011,0.6223,0.5516,0.5558,0.7172,0.6922,0.4426,0.5674
256,64,3e-6,1e-8,0.6623,0.6568,0.6132,0.4622,0.4954,0.7011,0.3833,0.4091,0.5144,0.6011,0.6222,0.5515,0.5565,0.7174,0.6922,0.4423,0.5676
256,64,3e-6,1e-7,0.6631,0.6571,0.6127,0.4622,0.4948,0.7003,0.3847,0.4083,0.5143,0.6016,0.6223,0.5515,0.5568,0.7179,0.6922,0.4417,0.5676
256,64,3e-6,3e-7,0.6631,0.6575,0.6127,0.461,0.4941,0.7006,0.3836,0.4086,0.5149,0.6022,0.6224,0.5519,0.5572,0.7162,0.6917,0.4402,0.5674
256,64,3e-6,7e-7,0.6628,0.6561,0.612,0.4607,0.4924,0.7005,0.3842,0.4115,0.5137,0.6022,0.6224,0.5502,0.555,0.7155,0.6906,0.4366,0.5667
256,64,3e-6,1e-6,0.6626,0.658,0.6121,0.4602,0.4913,0.7006,0.3834,0.4074,0.5148,0.6018,0.6237,0.55,0.5551,0.716,0.69,0.4387,0.5666
